Song Title,Artists,BPM,Comments,Length
"Stagger Lee (Dj cut)","Lloyd Price","141","50s Doo Wop","2:22"

"Stay - Maurice Williams (Dj Cut 2022)(Tempo Adjusted)","Maurice Williams & The Zodiacs","119","50s Doo Wop","1:46"

"Stood Up (Doubletime)","Ricky Nelson","91","50s Doo Wop","1:54"

"Stuck On You","Elvis Presley","131","50s Doo Wop-Honky Tonks","2:19"

"Such a Night","Elvis Presley","84","50s Doo Wop-Honky Tonks","3:02"

"Summertime Blues","Eddie Cochran","80","50s Doo Wop","1:58"

"Summertime, Summertime","The Jamies","102","50s Doo Wop","2:01"

"Tequila (Doubletime) (91BPM)","The Champs","91","50s Doo Wop","2:11"

"That'll Be The Day - Buddy Holly (Dj Cut 2022)","Buddy Holly","126","50s Doo Wop-Jazz","2:21"

"That's All Right (Doubletime)","Elvis Presley","105","50s Doo Wop-Honky Tonks","1:58"

"The Girl Can't Help It (8ct looper)","Little Richard","87","50s Doo Wop-Honky Tonks","2:30"

"The Lion Sleeps Tonight","The Tokens","121","50s Doo Wop","2:41"

"The Purple People Eater (Dj Cut 2022)","Sheb Wooley","158","50s Doo Wop","2:14"

"The Saints Rock 'N Roll (Doubletime)","Bill Haley & His Comets","100","50s Doo Wop-Honky Tonks","3:31"

"Think It Over","Buddy Holly & The Crickets","131","50s Doo Wop","1:47"

"This Magic Moment","The Drifters","93","50s Doo Wop-Honky Tonks","2:33"

"Too Much Monkey Business (doubletime)","Chuck Berry","94","50s Doo Wop-Honky Tonks","2:55"

"Too Much","Elvis Presley","117","50s Doo Wop-Honky Tonks","2:35"

"Tossin And Turnin (Dj Cut 2022)","Bobby Lewis","142","50s Doo Wop","2:25"

"Travelin' Man (Remastered)","Ricky Nelson","123","50s Doo Wop-Honky Tonks","2:22"

"Treat Me Nice","Elvis Presley","81","50s Doo Wop-Honky Tonks","2:13"

"Tutti Fruti (Dj Special 2022) (4 phrase)","Little Richard","93","50s Doo Wop/Pop/MensSports","2:36"

"Unchanged Melody","Righteous Brothers","99","50s Doo Wop","3:38"

"Under The Boardwalk (Slow Start)","The Drifters","122","50s Doo Wop-Honky Tonks","2:47"

"Wake Up Little Susie (Dj Cut 2022)(Doubletime)","Everly Brothers","93","50s Doo Wop","2:02"

"Wear My Ring Around Your Neck","Elvis Presley","104","50s Doo Wop-Honky Tonks","2:18"

"Who Put the Bomp (In the Bomp, Bomp, Bomp)(8ct looper)","Barry Mann","85","50s Doo Wop","2:44"

"Whole Lotta Loving (4 phrase doubletime)","Fats Domino","94","50s Doo Wop-Honky Tonks","1:39"

"Whole Lotta Shakin' Goin' On","Jerry Lee Lewis","82","50s Doo Wop/Pop/MensSports","2:56"

"Why Do Fools Fall In Love (8ct looper) (Remaster)(8ct looper)","Frankie Lymon feat. Teenagers","87","50s Doo Wop-Honky Tonks","2:18"

"Will You Still Love Me Tommorow","The Shirelles","136","50s Doo Wop-Honky Tonks","2:44"

"Witch Doctor (Original) (dj cut 2022)","Dave Seville and The Chipmunks","141","50s Doo Wop","2:28"

"Yakety Yak (Dj Cut 2022)","The Coasters","123","50s Doo Wop/Pop/MensSports","1:58"

"You Talk Too Much (Remastered)","Joe Jones","128","50s Doo Wop","2:30"

