Song Title,Artists,BPM,Comments,Length
"Wham Re Bop Boom Bam (looper)","Andy Kirk and His Clouds of Joy","101","40s 50s Jazz and Big Band","3:08"

"What'd I Say (Doubletime)(88bpm)","Ray Charles","88","40s 50s Jazz and Big Band Classics/MensSports","6:27"

"When the Saints Go Marching In (Dj Cut 2023)(4 Phrase)","Louis Armstrong","103","40s 50s Jazz and Big Band Classics","2:10"

"You Must Have Been A Beautiful Baby (Dj Cut 2022)","Bing Crosby","130","40s 50s Jazz and Big Band","2:54"

"Zip-A-Dee-Doo-Dah (Dj Cut 2022)(4 phrase)","The Modernaires","108","40s 50s Jazz and Big Band","2:25"

