Song Title,Artists,BPM,Comments,Length
"I'm Still Standing {4 Phrase}(Slow Start) - 88.46bpm","Elton John","88","70s Classic Rock-A Sides/Pop-Radio/Menssports","3:02"

"Immigrant Song","Led Zeppelin","112","70s Classic Rock-B Sides","2:27"

"In The Evening ","Led Zeppelin","104","70s Classic Rock-B Sides","6:02"

"In The Street - Original (Dj Special 2023)","Big Star","121","70s Classic Rock-A Sides","2:58"

"In The Street (2020 Remaster)","Cheap Trick","130","70s Classic Rock-B Sides","2:46"

"In The Summertime (4 phrase) (Dj Cut) - Mungo Jerry ","Mungo Jerry","82","70s Classic Rock-A Sides/Pop-Radio","3:22"

"Instant Karma! (We All Shine On) (Dj Cut 2022) 119bpm","John Lennon & The Plastic Ono Band & Yoko Ono","119","70s Classic Rock-A Sides/Pop-Radio","3:27"

"It Don't Come Easy (Dj Cut 2023)","Ringo Starr","123","70s Classic Rock-B Sides","2:59"

"It's a Long Way to the Top (If You Wanna Rock 'n' Roll)","AC/DC","134","70s Classic Rock-B Sides","5:22"

"Its A Sunshine Day ","The Brady Bunch","138","70s Classic Rock-A Sides/Pop-Radio","2:31"

"It's Only Rock 'n' Roll (But I Like It) (SLOW_START)","The Rolling Stones","129","70s Classic Rock-B Sides","5:07"

"It's so Easy (2015 Remaster)","Linda Ronstadt","119","70s Classic Rock-B Sides","2:28"

"It's Still Rock and Roll to Me","Billy Joel","138","70s Classic Rock-B Sides","2:58"

"Jailbreak","Thin Lizzy","144","70s Classic Rock-B Sides","4:04"

"Jailhouse Rock (Dj cut)(Doubletime)","The Blues Brothers","93","70s Classic Rock-B Sides","3:24"

"Jamie's Cryin'","Van Halen","128","70s Classic Rock-B Sides","3:30"

"Jesus Is Just Alright With Me (Dj Cut)","The Doobie Brothers","136","70s Classic Rock-A Sides/Pop-Radio","2:58"

"Joy To The World (Dj Cut 2025)","Three Dog Night","129","70s Classic Rock-A Sides/Pop-Radio/Menssports","3:28"

" Katmandu (Dj Cut 2023)","Bob Seger & the Silver Bullet Band","142","70s Classic Rock-B Sides","6:11"

"Keep On (Dj Special 2023)","The Brady Bunch","157","70s Classic Rock-A Sides","2:35"

"Killer Queen (Dj Cut 2023)[Explicit]","Queen","118","70s Classic Rock-B Sides","3:05"

"Kiss You All Over","EXILE","103","70s Classic Rock-B Sides","4:57"

"Knowing Me, Knowing You","ABBA","105","70s Classic Rock-B Sides","4:02"

"L.A. Woman (Four Phrase) (86 bpm)","The Doors","86","70s Classic Rock-A Sides/Pop-Radio","7:59"

"La Grange (4 Phrase)","ZZ Top","80.470000","70s Classic Rock-A Sides","3:54"

"Lay Down Sally (4 Phr)ase","Eric Clapton","95","70s Classic Rock-B Sides","3:56"

"Layla","Derek And The Dominos","115","70s Classic Rock-B Sides","3:11"

