Song Title,Artists,BPM,Comments,Length
"Love Me Do","The Beatles","148","60s A-Sides_Surf Rock","2:22"

"Love Potion No. 9 (The Searchers)[Dj Cut 2023]","The Searchers","127","60s A-Sides_Surf Rock","2:11"

"Make Me Know It","Elvis Presley","93","60s A-Sides_Surf Rock","2:02"

"Mary, Mary (8ct looper)","The Monkees","127","60s Surf Rock_B-Sides","2:16"

"Midnight Rambler","The Rolling Stones","131","60s Surf Rock_B-Sides","9:11"

"Money (That's What I Want) (Beatles) (looper) 134bpm","The Beatles","134","60s A-Sides_Surf Rock","2:52"

"Mony Mony - Tommy James And The Shondells","Tommy James And The Shondells","130","60s A-Sides_Surf Rock","2:54"

"Mother's Little Helper (Doubletime)","The Rolling Stones","99","60s Surf Rock_B-Sides","2:49"

"My Babe (Live)","Elvis Presley","83","60s A-Sides_Surf Rock","2:01"

"My Wife Can't Cook (Dj Special 2022)","Paul Revere & The Raiders","83","60s A-Sides_Surf Rock","2:27"

"Na Na Hey Hey Kiss Him Goodbye","Steam","115","60s Surf Rock_B-Sides","4:09"

"Nobody But Me","The Human Beinz","151","60s A-Sides_Surf Rock/MensSports","2:17"

"Oh, Pretty Woman","Roy Orbison","126","60s A-Sides_Surf Rock/Pop","2:57"

"Once Is Enough","Elvis Presley","140","60s A-Sides_Surf Rock","2:20"

"Paint It Black (8ct looper)","The Rolling Stones","159","60s Surf Rock_B-Sides","3:43"

"Paperback Writer (Dj Cut 2023) [4 Phrase]","The Beatles","158","60s A-Sides_Surf Rock","2:18"

"Patch It Up (Doubletime)","Elvis Presley","85","60s A-Sides_Surf Rock","4:01"

"Penny Lane (Dj cut)","The Beatles","114","60s A-Sides_Surf Rock","3:08"

"Pleasant Valley Sunday (slow start)","The Monkees","88","60s A-Sides_Surf Rock","3:15"

"Please Please Me (Mono Version / Remastered 2009)","The Beatles","139","60s Surf Rock_B-Sides","2:01"

"Poetry in Motion (Dj cut)","Johnny Tillotson","139","60s Surf Rock_B-Sides","2:15"

"Polk Salad Annie (Live) [Dj Cut 2024]","Elvis Presley","144","60s A-Sides_Surf Rock","4:33"

"Put the Blame On Me","Elvis Presley","149","60s A-Sides_Surf Rock","2:00"

"Rag Doll","The Four Seasons","121","60s Surf Rock_B-Sides","3:02"

"Raindrops Keep Falling (104bpm) (8ct looper)(check end tempo)","Burt Bacharach","104","60s Surf Rock_B-Sides","3:03"

"Return to Sender (Dj Cut 2022)","Elvis Presley","132","60s A-Sides_Surf Rock","2:14"

"Roll Over Beethoven (Remastered 2009)","The Beatles","80","60s Surf Rock_B-Sides","2:46"

"Route 66 (Get Your Kicks On) -(WARP) The Rolling Stones (83.47bpm)","The Rolling Stones","83","60s Surf Rock_B-Sides","2:21"

"Rubberneckin'","Elvis Presley","144","60s A-Sides_Surf Rock","2:13"

"Ruby Baby (Dion) (8ct looper)","Dion","121","60s Surf Rock_B-Sides","2:37"

"Runaway (I Wonder)","Del Shannon","145","60s A-Sides_Surf Rock","2:21"

"Secret Agent Man","Johnny Rivers","159","60s A-Sides_Surf Rock","3:07"

"See See Rider (Doubletime)","Elvis Presley","125","60s A-Sides_Surf Rock","2:34"

"Seventh Son","Johnny Rivers","159","60s Surf Rock_B-Sides","2:17"

"She Loves You (Dj special 2021)","The Beatles","150","60s A-Sides_Surf Rock","2:14"

"She Loves You (Mono Version)(Dj special 2022)","The Beatles","150","60s A-Sides_Surf Rock","2:22"

"Shout Shout (Knock Yourself Out)[4 Phrase]","Ernie Maresca","95","60s Surf Rock_B-Sides","2:10"

"Slow Down","The Beatles","84","60s Surf Rock_B-Sides","2:57"

"Spinning Wheel (Dj Cut)","Blood, Sweat & Tears","97","60s Surf Rock_B-Sides","4:06"

"Stranger In My Own Home Town","Elvis Presley","119","60s A-Sides_Surf Rock","4:28"

"Street Fighting Man (Dj Cut 2023)","The Rolling Stones","125","60s Surf Rock_B-Sides","3:14"

"Stuck On You","Elvis Presley","131","60s A-Sides_Surf Rock","2:19"

"Such a Night","Elvis Presley","84","60s A-Sides_Surf Rock","3:02"

"Sugar Shack ","The Fireballs","132","60s Surf Rock_B-Sides","2:06"

"Sugar,Sugar","The Archies","122","60s A-Sides_Surf Rock/Pop","2:48"

"Surf City - 73.27","Jan & Dean","146","60s A-Sides_Surf Rock","2:29"

"Surfin Bird (Doubletime) ","The Trashmen","99","60s A-Sides_Surf Rock","2:31"

"Surfin Safari (Dj Cut) (80bpm) (Doubletime)","The Beach Boys","80","60s A-Sides_Surf Rock","2:27"

"Surfin U.S.A (Dj Cut 2022)(4 phrase)","The Beach Boys","81","60s A-Sides_Surf Rock/Pop","2:33"

"Suspicious Minds (Remastered) (8ct Looper)","Elvis Presley","117","60s A-Sides_Surf Rock","4:31"

"Sweet Caroline (Slow Start)","Neil Diamond","128","60s A-Sides_Surf Rock/Pop","3:22"

"Sympathy For The Devil (Live) {Remastered} (Slow start)","The Rolling Stones","110","60s Surf Rock_B-Sides","5:09"

"Sympathy For The Devil","The Rolling Stones","116","60s Surf Rock_B-Sides","6:18"

"Taxman (8ct looper)","The Beatles","134","60s A-Sides_Surf Rock","2:39"

"Tell Me Why (Dj Special 2022)(Doubletime)","The Beatles","157","60s A-Sides_Surf Rock","2:08"

"The Ballad of John and Yoko (8ct looper)","The Beatles","135","60s A-Sides_Surf Rock","2:59"

"The Hippy Hippy Shake (Dj Cut)","The Swinging Blue Jeans","148","60s Surf Rock_B-Sides","1:51"

"The Night Before (Doubletime)","The Beatles","85","60s Surf Rock_B-Sides","2:35"

"The Twist - 158","Chubby Checker","156","60s A-Sides_Surf Rock","2:35"

"The Wanderer (115bpm)","Dion & The Belmonts","115","60s A-Sides_Surf Rock","2:51"

"Ticket to Ride (8ct looper)","The Beatles","123","60s A-Sides_Surf Rock","3:10"

"Too Much Monkey Business (Elvis)","Elvis Presley","84","60s A-Sides_Surf Rock","2:33"

"Twist and Shout (Fast start)","The Beatles","124","60s A-Sides_Surf Rock/Pop/MensSports","2:33"

"U.S. Male (4 Phrase)","Elvis Presley","105","60s A-Sides_Surf Rock","2:44"

"Under My Thumb","The Rolling Stones","126","60s Surf Rock_B-Sides","3:44"

"Vacation (Connie Francis) [Dj Cut 2023]","Connie Francis","144","60s Surf Rock_B-Sides","2:36"

"Valleri (Dj cut 2022)","The Monkees","151","60s Surf Rock_B-Sides","2:26"

"Viva Las Vegas","Elvis Presley","144","60s A-Sides_Surf Rock","2:22"

"Walk A Mile In My Shoes (Live) (8ct looper)","Elvis Presley","123","60s A-Sides_Surf Rock","2:57"

"Walk Like a Man (8ct Looper)","Frankie Valli & The Four Seasons","117","60s A-Sides_Surf Rock","2:18"

"We Can Work It Out (Dj Cut 2022)","The Beatles","106","60s A-Sides_Surf Rock","2:24"

"Wearin' That Loved On Look (Dj Cut 2024)","Elvis Presley","119","60s A-Sides_Surf Rock","2:37"

"Who Put the Bomp (In the Bomp, Bomp, Bomp)[Dj Cut 2023](4 Phrase)","Barry Mann","85","60s Surf Rock_B-Sides","2:39"

"Wild Thing [The Troggs] (Dj Cut 2025)","The Troggs","102","60s A-Sides_Surf Rock/Pop/MensSports","2:46"

"Wooly Bully (8ct looper)","Sam the Sham & the Pharaohs","141","60s A-Sides_Surf Rock/MensSports","2:19"

"Wouldnt It Be Nice (Slow Start)","The Beach Boys","126","60s A-Sides_Surf Rock","2:28"

"Wrap It Up","Sam & Dave","111","60s A-Sides_Surf Rock","2:33"

"Yellow Submarine (Dj Cut)","The Beatles","110","60s A-Sides_Surf Rock","2:47"

"You Can't Always Get What You Want (doubletime) (87bpm)","The Rolling Stones","87","60s Surf Rock_B-Sides","7:29"

"You Can't Do That (8ct looper)","The Beatles","129","60s Surf Rock_B-Sides","2:35"

"You Really Got Me - The Kinks (8ct looper)","The Kinks","137","60s A-Sides_Surf Rock/MensSports","2:15"

"You're Going To Lose That Girl (Dj special 2022)","The Beatles","132","60s Surf Rock_B-Sides","2:25"

