Song Title,Artists,BPM,Comments,Length
"I Don't Mind Doin' It (8ct Looper)","Jackie Lavant and The Fasions","123","70s Classic Soul B+Sides","3:44"

"I Don't Wanna Lose Your Love","The Emotions","120","70s Classic Soul A-Sides","4:13"

"I Don't Want Nobody To Give Me Nothing (Open Up The Door I'll Get It Myself), Pt. 1","James Brown","110","70s Classic Soul B-Sides","3:04"

"I Got Ants in My Pants, Pt.1 (Dj Cut 2024)","James Brown","108","70s Classic Soul A-Sides","2:58"

"I Gotta Find A Way (To Get You Back)","Tammi Terrell","124","70s Classic Soul B-Sides","2:54"

"I Heard It Through The Grapevine (Fast intro.BPM is correct)","Gladys Knight & The Pips","112","70s Classic Soul A-Sides/WMSport","2:56"

"I Heard It Through The Grapevine","Marvin Gaye","116","70s Classic Soul A-Sides/Pop-Radio","3:14"

"I Just Want to Celebrate (tempo Adjusted)","Rare Earth","87","70s Classic Soul B-Sides","2:47"

"I Know You Got Soul","Bobby Byrd","112","70s Classic Soul B+Sides","4:42"

"I Love Music","The O'Jays","129","70s Classic Soul A-Sides/Pop-Radio","3:36"

"I Need Your Lovin' (Dj Cut 2025)","Teena Marie","109.450000","70s Classic Soul A-Sides/Pop-Radio","3:47"

"I Wanna Be Where You Are","Michael Jackson","104","70s Classic Soul B-Sides","2:59"

"I Wanna Be Your Lover","Prince","116","70s Classic Soul A-Sides/Pop-Radio","2:57"

"I Wanna Do The Do","Bobby Rush","109","70s Classic Soul B-Sides","3:30"

"I Wish","Stevie Wonder","106","70s Classic Soul A-Sides/Pop-Radio","4:10"

"I'd Rather Be With You","Bootsy Collins","83","70s Classic Soul B-Sides","4:58"

"If You Want Me To Stay","Sly And The Family Stone","102","70s Classic Soul A-Sides","3:01"

"If You're Ready (Come Go With Me)","The Staple Singers","101","70s Classic Soul B-Sides","4:28"

"I'll Always Love My Mama","The Intruders","121","70s Classic Soul B+Sides","2:40"

"I'll Be Around (slow start)","The Spinners","111","70s Classic Soul A-Sides/Pop-Radio","3:14"

"I'll Be Good To You","The Brothers Johnson","98","70s Classic Soul A-Sides","4:45"

"I'll Be Good","Rene & Angela","108","70s Classic Soul B+Sides/Dance","7:25"

"I'll Take You There {Dj Cut} (Staple Singers)","Staple Singers","102","70s Classic Soul A-Sides","4:16"

"I'm A Sucker For Your Love","Teena Marie","116","70s Classic Soul B-Sides","5:52"

"I'm Coming Out (Dj Special 2025)","Diana Ross","111","70s Classic Soul A-Sides/Pop-Radio","4:07"

"I'm Every Woman - Chaka Khan (Tempo adjusted)","Chaka Khan","114","70s Classic Soul A-Sides","3:53"

"I'm Ready","Kano","126","70s Classic Soul B+Sides/Dance","3:34"

"I'm Still in Love with You (looper 8ct)","Al Green","98","70s Classic Soul B+Sides","3:12"

"Inner City Blues (Make Me Wanna Holler)","Marvin Gaye","93","70s Classic Soul A-Sides","0:00"

"Isnt She Lovely (119bpm) ","Stevie Wonder","119","70s Classic Soul B+Sides/WMSport","3:21"

"It's a Love Thing (slow start)","The Whispers","118","70s Classic Soul A-Sides","3:47"

"It's a Shame","The Spinners","98","70s Classic Soul B+Sides/Crossover","3:11"

"It's All The Way Live - Lakeside","Lakeside","117","70s Classic Soul A-Sides/Pop-Radio","3:33"

"It's Ecstasy When You Lay Down Next To Me (Single Version)","Barry White","103","70s Classic Soul A-Sides/Pop-Radio","3:23"

"It's Too Funky In Here (Single Version)","James Brown","107","70s Classic Soul B-Sides","3:59"

"Jesus Is Just Alright With Me (Dj Cut)","The Doobie Brothers","136","70s Classic Soul A-Sides","2:58"

"Jungle Boogie","Kool & the Gang","106","70s Classic Soul A-Sides/Pop-Radio","3:04"

"Just A Touch Of Love","Slave","108","70s Classic Soul B+Sides/Dance","4:07"

"Just the Two of Us (Grover Washington Ft. Bill Withers)[Short Edit]","Grover Washington, Jr.","96.000000","70s Classic Soul A-Sides","4:26"

