Song Title,Artists,BPM,Comments,Length
"Express Yourself (Original)","Madonna","115","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt","4:39"

"Express Yourself","Madonna","115","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt","4:04"

"Eye Of The Tiger","Survivor","108","80s Rock- A Sides/Pop/Classic Rock","3:46"

"Faith (Class Edit) (Doubletime)","George Michael","95","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt","2:38"

"Fame","David Bowie","95","80s Rock- A Sides/Pop/Classic Rock","4:20"

"Family Man","Hall & Oates","131","80s Rock- A Sides/Pop/Classic Rock","5:48"

"(Keep Feeling) Fascination","The Human League","118","80s Rock- A Sides/New Wave/Alt","3:44"

"Feel The Beat Drop [Beastie Boys] (Dj Cut 2023)[4_Phrase]","Beastie Boys","154","80s Rock- A Sides/New Wave/Alt","1:24"

"Fight For Your Right to Party","Beastie Boys","133","80s Rock- A Sides/New Wave/Alt","3:28"

"Flashdance What A Feeling  (Dj Cut)","Irene Cara","123","80s Rock- B Sides","3:10"

"Footloose (4 phrase doubletime)","Kenny Loggins","87","80s Rock- A Sides/Pop/Classic Rock/MensSports","3:44"

"Free Fallin' (4 Phrase)","Tom Petty","84","80s Rock- B Sides","4:16"

"Freedom (Wham) (Dj Special 2023)","Wham!","134","80s Rock- A Sides/New Wave/Alt","4:54"

"Freedom 90","George Michael","92","80s Rock- B Sides","6:28"

"Freeze Frame (4 Phrase)","J. Geils Band","93","80s Rock- B Sides","3:57"

"Friday I'm in Love","The Cure","136","80s Rock- A Sides/Pop/New Wave/Alt","3:34"

"Funky Town (Pseudo Echo)","Pseudo Echo","128","80s Rock- B Sides","4:51"

"Get It On (Bang a Gong) [7'' Mix]","The Power Station","124","80s Rock- A Sides/Classic Rock","3:47"

"Ghostbusters","Ray Parker, Jr.","115","80s Rock- A Sides/Pop/Classic Rock","4:05"

"Girlfriend Is Better (8ct Looper)","Talking Heads","118","80s Rock- B Sides","5:46"

"Girls Girls Girls","Mötley Crüe","140","80s Rock- A Sides/Guitar-Alt/New Wave/Alt","4:28"

"Girls Just Want to Have Fun (Warped)","Cyndi Lauper","120","80s Rock- A Sides/Pop/New Wave/Alt/WMSport","3:54"

"Girls on Film","Duran Duran","132","80s Rock- A Sides/New Wave/Alt","3:29"

"Girls","Beastie Boys","139","80s Rock- A Sides/New Wave/Alt","2:14"

"Gloria","Laura Branigan","131","80s Rock- B Sides","3:51"

"Glory Days","Bruce Springsteen","117","80s Rock- B Sides","4:18"

"Good Thing - 83 {4 Phrase}","Fine Young Cannibals","82","80s Rock- A Sides/New Wave/Alt","3:24"

"Goodbye to You","Scandal feat. Patty Smyth","159","80s Rock- B Sides","3:46"

"Goodbye, Goodbye (2 phrase doubletime)","Oingo Boingo","96","80s Rock- B Sides","3:54"

"Goody Two Shoes (4 phraase doubletime) (95bpm) ","Adam Ant","95","80s Rock- B Sides","3:29"

"Hangin' Tough","New Kids on the Block","91","80s Rock- A Sides/Pop/New Wave/Alt","3:52"

"Have A Drink on Me [slow start]","AC/DC","122","80s Rock- A Sides/Guitar-Alt/Classic Rock","3:59"

"Head Over Heels - GOGOs","The Go-Go's","157","80s Rock- B Sides","3:36"

"Heart And Soul","Huey Lewis & The News","121","80s Rock- B Sides","4:09"

"Heat Of The Moment (Dj Cut) (8ct looper)(139 in the middle)","Asia","130","80s Rock- B Sides","3:47"

"Hells Bells (SLOW START)","AC/DC","107","80s Rock- B Sides/Guitar","5:12"

"Here Comes the Rain Again","Eurythmics","126","80s Rock- B Sides","5:06"

"Here I Am (Come And Take Me)[Dj Cut 2025]{4 Phrase}","UB40","96","80s Rock- A Sides/Classic Rock","4:13"

"Hey Bud","Jeff Spicolli","0","80s Rock- B Sides","0:19"

"Hey Ladies","Beastie Boys","101","80s Rock- A Sides/New Wave/Alt","3:47"

"Hey Nineteen","Steely Dan","120","80s Rock- B Sides","5:08"

"Higher Love","Steve Winwood","98","80s Rock- A Sides/Classic Rock","4:12"

"Highway To The Danger Zone","Kenny Loggins","157","80s Rock- A Sides/Classic Rock/MensSports","3:34"

"Hip To Be Square","Huey Lewis And The News","141","80s Rock- B Sides","4:05"

"Hit Me With Your Best Shot (Remastered)","Pat Benatar","127","80s Rock- A Sides/Pop/Classic Rock/WMSport","2:51"

